object	cluster
MH017570.1	MH017570.1
MH017571.1	MH017570.1
MH017572.1	MH017570.1
MH017573.1	MH017570.1
MH017574.1	MH017570.1
MH017575.1	MH017570.1
MH017576.1	MH017570.1
MH017579.1	MH017570.1
MH017580.1	MH017570.1
MH017581.1	MH017570.1
MH017582.1	MH017570.1
MH017586.1	MH017570.1
MH017587.1	MH017570.1
MN770653.1	MN770653.1
MN770746.1	MN770653.1
MN770665.1	MN770653.1
MN770549.1	MN770653.1
MN770540.1	MN770653.1
MN770799.1	MN770653.1
MN770492.1	MN770653.1
MN770551.1	MN770653.1
MN770615.1	MN770653.1
MN770460.1	MN770653.1
MN770796.1	MN770653.1
MN770804.1	MN770653.1
MN770718.1	MN770653.1
MZ286056.1	MZ286056.1
OZ258695.1	MZ286056.1
OZ258907.1	MZ286056.1
MZ286066.1	MZ286056.1
OZ258709.1	MZ286056.1
OZ258921.1	MZ286056.1
MZ286132.1	MZ286056.1
MZ286121.1	MZ286056.1
MZ285993.1	MZ286056.1
MZ286080.1	MZ286056.1
MZ286028.1	MZ286056.1
MZ285977.1	MZ286056.1
MN769027.1	MN769027.1
MN769043.1	MN769027.1
MN769117.1	MN769027.1
MN770637.1	MN769027.1
MN769387.1	MN769027.1
MN769064.1	MN769027.1
MN769078.1	MN769027.1
MN769102.1	MN769027.1
MN769443.1	MN769027.1
MN769213.1	MN769027.1
MN769750.1	MN769027.1
MN769065.1	MN769027.1
MN771024.1	MN771024.1
MN770921.1	MN771024.1
MN771029.1	MN771024.1
MN771031.1	MN771024.1
MN771036.1	MN771024.1
MN770424.1	MN771024.1
MN771026.1	MN771024.1
MN771028.1	MN771024.1
MN771025.1	MN771024.1
MN771095.1	MN771024.1
MN771032.1	MN771024.1
OZ258769.1	OZ258769.1
OZ258981.1	OZ258769.1
MN770144.1	OZ258769.1
MN770880.1	OZ258769.1
MN770881.1	OZ258769.1
MN770882.1	OZ258769.1
MN770892.1	OZ258769.1
MN770893.1	OZ258769.1
MN770887.1	OZ258769.1
MN771476.1	OZ258769.1
MN770167.1	OZ258769.1
MN769033.1	MN769033.1
MN769160.1	MN769033.1
MN769198.1	MN769033.1
MN769239.1	MN769033.1
MN769521.1	MN769033.1
MN769740.1	MN769033.1
MN769775.1	MN769033.1
MN769823.1	MN769033.1
MN771020.1	MN769033.1
MN771021.1	MN769033.1
