Accession	BioProjects	BioSample accession	Completeness	Gene count	Geographic Location	Geographic Region	Geographic State	Host Common Name	Host Infraspecific Names Breed	Host Infraspecific Names Cultivar	Host Infraspecific Names Ecotype	Host Infraspecific Names Isolate	Host Infraspecific Names Sex	Host Infraspecific Names Strain	Host Name	Host Pangolin Classification	Host Taxonomic ID	Is Annotated	Is Complete	Is Lab Host	Is Vaccine Strain	Isolate Collection date	Isolate Lineage	Isolate Lineage source	Lab Host	Length	Mature peptide count	Molecule type	Nucleotide completeness	Protein count	Purpose of Sampling	Release date	Segment	Source database	SRA Accessions	Submitter Affiliation	Submitter Country	Submitter Names	Update date	Virus Common Name	Virus Infraspecific Names Breed	Virus Infraspecific Names Cultivar	Virus Infraspecific Names Ecotype	Virus Infraspecific Names Isolate	Virus Infraspecific Names Sex	Virus Infraspecific Names Strain	Virus Name	Virus Pangolin Classification	Virus Taxonomic ID
PQ438050.1	PRJNA1134214	SAMN42396658	COMPLETE		USA	North America									Homo sapiens		9606	true				2014	BB02_W200314045308P	blood		3062				1		2024-10-29T00:00:00Z		GenBank	SRR29828227	FDA, Lab of Molecular Virology	USA	Ragupathy,V.,Kelly,K.,Hewlett,I.	2024-10-29T00:00:00Z								Torque teno virus		68887
PP728782.1	PRJNA1077994	SAMN39987369	COMPLETE		Peru: Lima	South America									Homo sapiens		9606	true				2007-09-28	ASU82836			3223				2		2024-05-28T00:00:00Z		GenBank	SRR28058373	Arizona State University, Center for Fundamental and Applied Microbiomics	USA	Holland,S.C.,Do,E.D.,Kaelin,E.A.,Mitchell,C.,Soria,J.,La Rosa,A.,Ticona,E.,Coombs,R.W.,Frenkel,L.M.,Bull,M.E.,Lim,E.S.	2024-06-06T00:00:00Z								Memtorquevirus hominid14		3160828
PP728781.1	PRJNA1077994	SAMN39987311	COMPLETE		Peru: Lima	South America									Homo sapiens		9606	true				2008-08-12	ASU82773			2940				2		2024-05-28T00:00:00Z		GenBank	SRR28055178	Arizona State University, Center for Fundamental and Applied Microbiomics	USA	Holland,S.C.,Do,E.D.,Kaelin,E.A.,Mitchell,C.,Soria,J.,La Rosa,A.,Ticona,E.,Coombs,R.W.,Frenkel,L.M.,Bull,M.E.,Lim,E.S.	2024-06-06T00:00:00Z								Samektorquevirus hominid18		3160824
PP728779.1	PRJNA1077994	SAMN39987296	COMPLETE		Peru: Lima	South America									Homo sapiens		9606	true				2007-10-19	ASU82758a			3230				2		2024-05-28T00:00:00Z		GenBank	SRR28035273	Arizona State University, Center for Fundamental and Applied Microbiomics	USA	Holland,S.C.,Do,E.D.,Kaelin,E.A.,Mitchell,C.,Soria,J.,La Rosa,A.,Ticona,E.,Coombs,R.W.,Frenkel,L.M.,Bull,M.E.,Lim,E.S.	2024-06-06T00:00:00Z								Samektorquevirus hominid17		3160823
PP728776.1	PRJNA1077994	SAMN39987374	COMPLETE		Peru: Lima	South America									Homo sapiens		9606	true				2007-11-08	ASU71878			3178				2		2024-05-28T00:00:00Z		GenBank	SRR28035306	Arizona State University, Center for Fundamental and Applied Microbiomics	USA	Holland,S.C.,Do,E.D.,Kaelin,E.A.,Mitchell,C.,Soria,J.,La Rosa,A.,Ticona,E.,Coombs,R.W.,Frenkel,L.M.,Bull,M.E.,Lim,E.S.	2024-06-06T00:00:00Z								Samektorquevirus hominid16		3160822
PP374836.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2021	HNPP7-2			3796				2		2024-08-03T00:00:00Z		GenBank		Hunan University, College of Biology	China	Yu,X.W.,Wang,Q.,Liu,L.,Zhou,Z.J.,Cai,T.,Yuan,H.M.,Tang,M.A.,Peng,J.,Ye,S.B.,Yang,X.H.,Deng,X.B.,Ge,X.Y.,Yu,X.-W.,Zhou,Z.-J.,Yuan,H.-M.,Tang,M.-A.,Ye,S.-B.,Yang,X.-H.,Deng,X.-B.,Ge,X.-Y.	2024-08-03T00:00:00Z								Torque teno virus		68887
PP374835.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2021	HNPP7-1			3798				2		2024-08-03T00:00:00Z		GenBank		Hunan University, College of Biology	China	Yu,X.W.,Wang,Q.,Liu,L.,Zhou,Z.J.,Cai,T.,Yuan,H.M.,Tang,M.A.,Peng,J.,Ye,S.B.,Yang,X.H.,Deng,X.B.,Ge,X.Y.,Yu,X.-W.,Zhou,Z.-J.,Yuan,H.-M.,Tang,M.-A.,Ye,S.-B.,Yang,X.-H.,Deng,X.-B.,Ge,X.-Y.	2024-08-03T00:00:00Z								Torque teno virus		68887
PP374834.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2021	HNPP6-2			3773				3		2024-08-03T00:00:00Z		GenBank		Hunan University, College of Biology	China	Yu,X.W.,Wang,Q.,Liu,L.,Zhou,Z.J.,Cai,T.,Yuan,H.M.,Tang,M.A.,Peng,J.,Ye,S.B.,Yang,X.H.,Deng,X.B.,Ge,X.Y.,Yu,X.-W.,Zhou,Z.-J.,Yuan,H.-M.,Tang,M.-A.,Ye,S.-B.,Yang,X.-H.,Deng,X.-B.,Ge,X.-Y.	2024-08-03T00:00:00Z								Torque teno virus		68887
PP374833.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2021	HNPP6-1			3719				3		2024-08-03T00:00:00Z		GenBank		Hunan University, College of Biology	China	Yu,X.W.,Wang,Q.,Liu,L.,Zhou,Z.J.,Cai,T.,Yuan,H.M.,Tang,M.A.,Peng,J.,Ye,S.B.,Yang,X.H.,Deng,X.B.,Ge,X.Y.,Yu,X.-W.,Zhou,Z.-J.,Yuan,H.-M.,Tang,M.-A.,Ye,S.-B.,Yang,X.-H.,Deng,X.-B.,Ge,X.-Y.	2024-08-03T00:00:00Z								Torque teno virus		68887
PP374832.1			COMPLETE		China	Asia									Homo sapiens		9606	true				2021	HNPP5			3908				2		2024-08-03T00:00:00Z		GenBank		Hunan University, College of Biology	China	Yu,X.W.,Wang,Q.,Liu,L.,Zhou,Z.J.,Cai,T.,Yuan,H.M.,Tang,M.A.,Peng,J.,Ye,S.B.,Yang,X.H.,Deng,X.B.,Ge,X.Y.,Yu,X.-W.,Zhou,Z.-J.,Yuan,H.-M.,Tang,M.-A.,Ye,S.-B.,Yang,X.-H.,Deng,X.-B.,Ge,X.-Y.	2024-08-03T00:00:00Z								Torque teno virus		68887
