id	seq_len	no_parts
MZ286156.1	3996	1
MH649210.1	3965	1
MH649122.1	3955	1
OZ258672.1	3927	1
OZ258884.1	3927	1
AY823989.1	3920	1
MZ286022.1	3918	1
OP168886.1	3914	1
PP374832.1	3908	1
MH649242.1	3905	1
MH649256.1	3904	1
OZ258617.1	3896	1
OZ258829.1	3896	1
MH649014.1	3886	1
OZ258785.1	3882	1
OZ258997.1	3882	1
MZ286070.1	3872	1
MZ286056.1	3866	1
MH017570.1	3856	1
MH017571.1	3856	1
MH017572.1	3856	1
MH017573.1	3856	1
MH017574.1	3856	1
MH017575.1	3856	1
MH017576.1	3856	1
MH017577.1	3856	1
MH017578.1	3856	1
MH017579.1	3856	1
MH017580.1	3856	1
MH017581.1	3856	1
MH017582.1	3856	1
MH017583.1	3856	1
MH017584.1	3856	1
MH017585.1	3856	1
MH017586.1	3856	1
MH017587.1	3856	1
KM593802.2	3840	1
KM593803.2	3840	1
KP343837.1	3839	1
MH649178.1	3837	1
OZ258652.1	3837	1
OZ258864.1	3837	1
OZ258744.1	3832	1
OZ258956.1	3832	1
PP374828.1	3830	1
MW455389.1	3826	1
MZ286097.1	3823	1
OZ258695.1	3820	1
OZ258907.1	3820	1
MZ286113.1	3818	1
OZ258684.1	3818	1
OZ258896.1	3818	1
OZ258639.1	3817	1
OZ258851.1	3817	1
AY823988.1	3816	1
MZ286037.1	3816	1
MZ286209.1	3813	1
MZ286016.1	3811	1
MZ285968.1	3809	1
MZ286215.1	3809	1
OZ258750.1	3809	1
OZ258962.1	3809	1
MZ286017.1	3806	1
MH649158.1	3798	1
PP374835.1	3798	1
PP374836.1	3796	1
PP374829.1	3794	1
KJ194502.1	3793	1
OR148955.1	3789	1
MZ286140.1	3787	1
OZ258700.1	3783	1
OZ258912.1	3783	1
MW679006.1	3781	1
OR148953.1	3780	1
OZ258692.1	3780	1
OZ258904.1	3780	1
MZ286205.1	3778	1
MH649179.1	3777	1
PP374834.1	3773	1
MW679003.1	3770	1
MZ286086.1	3770	1
PP374831.1	3769	1
GU797360.1	3767	1
OZ258612.1	3766	1
MW455432.1	3763	1
MZ286208.1	3762	1
OZ258664.1	3762	1
OZ258876.1	3762	1
MT501648.1	3759	1
OZ258799.1	3757	1
OZ259011.1	3757	1
MT501645.1	3756	1
MT501652.1	3753	1
MZ286066.1	3750	1
OZ258660.1	3750	1
OZ258872.1	3750	1
MH648913.1	3749	1
OZ258709.1	3744	1
OZ258921.1	3744	1
MW455448.1	3741	1
PP374830.1	3741	1
MZ286181.1	3738	1
MZ286092.1	3733	1
MT783405.1	3732	1
MZ286038.1	3732	1
OZ258670.1	3726	1
OZ258693.1	3726	1
OZ258742.1	3726	1
OZ258882.1	3726	1
OZ258905.1	3726	1
OZ258954.1	3726	1
OZ258620.1	3724	1
OZ258701.1	3724	1
OZ258832.1	3724	1
OZ258913.1	3724	1
OP985294.1	3721	1
MZ286132.1	3719	1
PP374833.1	3719	1
MH649042.1	3718	1
MH649070.1	3718	1
MW455438.1	3717	1
MZ286110.1	3716	1
MN768563.1	3713	1
OZ258632.1	3712	1
OZ258844.1	3712	1
MW455383.1	3709	1
MZ286152.1	3705	1
MZ286216.1	3703	1
MT783404.1	3700	1
LC385662.1	3699	1
LC385663.1	3699	1
MH649137.1	3696	1
MZ286093.1	3690	1
MW455345.1	3687	1
OZ258803.1	3687	1
OZ259015.1	3687	1
MH649092.1	3686	1
MZ286098.1	3686	1
MW679005.1	3684	1
KP343845.1	3683	1
MH648969.1	3682	1
MZ285969.1	3668	1
MZ286109.1	3667	1
MN768562.1	3655	1
MN768567.1	3655	1
MW455439.1	3655	1
MN768565.1	3651	1
MT501646.1	3651	1
MT501653.1	3651	1
MZ286182.1	3651	1
MT501649.1	3650	1
MN765200.1	3649	1
MZ286006.1	3649	1
MZ286002.1	3643	1
MN765199.1	3637	1
MN765202.1	3634	1
MT783406.1	3633	1
MZ286121.1	3630	1
MH649144.1	3624	1
MK820644.1	3623	1
MZ286128.1	3623	1
MN768564.1	3621	1
MZ286183.1	3621	1
OP985293.1	3609	1
JN980171.1	3603	1
MZ285993.1	3603	1
MN765196.1	3601	1
KP036971.1	3599	1
MZ285992.1	3585	1
MZ286099.1	3574	1
MW857571.1	3573	1
MN768560.1	3572	1
MW455346.1	3569	1
MZ286008.1	3566	1
KP343833.1	3558	1
MN765197.1	3558	1
MZ286206.1	3552	1
KP343839.1	3551	1
MZ286143.1	3551	1
MN765201.1	3550	1
MZ286079.1	3550	1
MZ286100.1	3547	1
MZ286169.1	3545	1
MN768559.1	3542	1
MZ286060.1	3537	1
MZ286184.1	3537	1
MZ286220.1	3532	1
MN765195.1	3518	1
MH649127.1	3515	1
MZ286009.1	3515	1
MZ286057.1	3515	1
MZ286124.1	3513	1
OQ283124.1	3512	1
MZ286046.1	3507	1
MN765198.1	3503	1
MZ286122.1	3503	1
MZ286049.1	3501	1
MN768568.1	3488	1
MW455347.1	3487	1
KP343838.1	3484	1
MZ286080.1	3484	1
MZ286141.1	3479	1
MN765203.1	3476	1
MT783407.1	3476	1
OZ258675.1	3474	1
OZ258887.1	3474	1
OZ258719.1	3473	1
OZ258730.1	3473	1
OZ258931.1	3473	1
OZ258942.1	3473	1
KJ194503.1	3451	1
MN768561.1	3451	1
MZ286061.1	3446	1
MZ286023.1	3443	1
MZ286157.1	3428	1
MZ285970.1	3408	1
MZ286073.1	3400	1
MN768566.1	3371	1
MZ286042.1	3370	1
MZ286170.1	3367	1
KP343842.1	3357	1
MZ286158.1	3353	1
MW455392.1	3328	1
MH649156.1	3316	1
MW455379.1	3309	1
MN774988.1	3301	1
MZ286013.1	3288	1
MH648946.1	3287	1
MW455393.1	3280	1
KP343841.1	3278	1
MZ286176.1	3275	1
MN774987.1	3269	1
MW455394.1	3268	1
MZ286238.1	3268	1
MH648893.1	3261	1
AB290919.1	3253	1
NC_014093.1	3253	1
MN774939.1	3248	1
OP549859.1	3248	1
AB290917.1	3245	1
MT506589.1	3245	1
NC_009225.1	3245	1
MW455348.1	3243	1
MW455395.1	3243	1
AB290918.1	3242	1
MZ286050.1	3241	1
OK574374.1	3241	1
MZ286118.1	3237	1
MW455387.1	3235	1
HM224451.1	3234	1
AB303564.1	3230	1
MZ286024.1	3230	1
NC_038360.1	3230	1
OZ258610.1	3230	1
PP728779.1	3230	1
MN774940.1	3229	1
MN774952.1	3229	1
MZ286010.1	3229	1
MN774938.1	3228	1
MZ286159.1	3226	1
AB303558.1	3223	1
AB303566.1	3223	1
MZ285962.1	3223	1
NC_038355.1	3223	1
NC_038361.1	3223	1
PP728782.1	3223	1
OZ258705.1	3222	1
OZ258917.1	3222	1
MN774941.1	3220	1
MH649203.1	3219	1
MW455380.1	3215	1
MW455414.1	3215	1
OP549860.1	3213	1
MH649208.1	3209	1
AB303552.1	3208	1
NC_038352.1	3208	1
MN774951.1	3207	1
AB303555.1	3205	1
OK574345.1	3205	1
AB303557.1	3204	1
MW455415.1	3201	1
AB303556.1	3200	1
AB303563.1	3200	1
AB303553.1	3198	1
AB303561.1	3198	1
MN774950.1	3198	1
NC_038353.1	3198	1
NC_038358.1	3198	1
AB303554.1	3197	1
NC_038354.1	3197	1
MN774944.1	3195	1
MW455440.1	3195	1
MZ285973.1	3195	1
MZ286130.1	3193	1
MN774948.1	3191	1
MW455441.1	3191	1
AB303559.1	3187	1
AB303562.1	3187	1
MZ286114.1	3187	1
NC_038356.1	3187	1
NC_038359.1	3187	1
MZ286000.1	3186	1
MN774949.1	3185	1
MZ286043.1	3184	1
AB303565.1	3183	1
MN774943.1	3181	1
MW455416.1	3181	1
MZ286177.1	3181	1
MN774942.1	3179	1
PP728776.1	3178	1
MK820645.1	3177	1
AB303560.1	3175	1
MW455367.1	3175	1
MZ286003.1	3175	1
NC_038357.1	3175	1
OK574382.1	3175	1
MZ286025.1	3174	1
MZ286101.1	3172	1
MZ286125.1	3171	1
MZ286126.1	3170	1
MW455368.1	3169	1
MH649258.1	3168	1
MZ285994.1	3167	1
MZ286011.1	3165	1
MH648958.1	3164	1
KP343820.1	3162	1
MZ286218.1	3161	1
MW455374.1	3160	1
MW455446.1	3160	1
MZ286221.1	3160	1
MZ286026.1	3157	1
OP549858.1	3156	1
MW455349.1	3154	1
OZ258816.1	3150	1
OZ259028.1	3150	1
MH648916.1	3147	1
MZ286144.1	3146	1
MZ286018.1	3145	1
MH649223.1	3141	1
MZ286102.1	3137	1
MW455390.1	3135	1
MW455417.1	3134	1
MZ286027.1	3134	1
MW455433.1	3130	1
MW455375.1	3125	1
MZ286094.1	3123	1
MW455350.1	3120	1
MH649063.1	3116	1
MZ286115.1	3114	1
OZ258698.1	3114	1
OZ258910.1	3114	1
MZ286185.1	3113	1
MN774989.1	3111	1
MZ286211.1	3109	1
MW455351.1	3108	1
MZ286123.1	3104	1
MW455362.1	3092	1
MW455352.1	3091	1
MW455447.1	3088	1
MZ285974.1	3087	1
MN774953.1	3086	1
MN774986.1	3083	1
MW455396.1	3081	1
MH648901.1	3076	1
MZ286160.1	3076	1
MW455418.1	3075	1
MW455369.1	3074	1
MH649022.1	3073	1
KP343840.1	3072	1
MN774937.1	3072	1
MZ286161.1	3072	1
MZ285975.1	3070	1
KP343860.1	3069	1
MN774932.1	3066	1
MN774936.1	3065	1
MW455397.1	3065	1
NC_038337.1	3064	1
PQ438050.1	3062	1
MN774955.1	3060	1
MN774927.1	3057	1
MW455434.1	3057	1
MN774956.1	3056	1
MN774929.1	3053	1
MW455370.1	3051	1
MH648997.1	3047	1
MN770112.1	3046	1
MN770886.1	3046	1
KP343846.1	3045	1
MN774928.1	3043	1
MN774931.1	3043	1
MW455398.1	3042	1
MN769985.1	3040	1
MN769846.1	3039	1
MN769869.1	3039	1
MN769877.1	3039	1
MN769948.1	3039	1
MN770003.1	3039	1
MN770018.1	3039	1
MN771067.1	3039	1
MN774933.1	3038	1
MN774930.1	3037	1
MZ286062.1	3034	1
MZ286178.1	3034	1
MZ286179.1	3034	1
KP343843.1	3033	1
MN774934.1	3033	1
MN774984.1	3033	1
MZ285989.1	3033	1
MZ286014.1	3029	1
KP343862.1	3027	1
MZ286074.1	3027	1
MZ286028.1	3026	1
MW455376.1	3022	1
MN770161.1	3020	1
MN770163.1	3020	1
MN770758.1	3020	1
MN770166.1	3019	1
MN770669.1	3019	1
MN774945.1	3019	1
MN770650.1	3018	1
MN770723.1	3018	1
KP343864.1	3016	1
MZ286051.1	3016	1
MZ286207.1	3016	1
MZ286075.1	3015	1
MN771139.1	3014	1
MN769088.1	3013	1
MN769266.1	3013	1
MN771319.1	3013	1
MW455420.1	3013	1
MZ286129.1	3013	1
MZ286162.1	3013	1
MZ285976.1	3012	1
MN774946.1	3010	1
MN774975.1	3010	1
MN774977.1	3010	1
MN774982.1	3009	1
MH648990.1	3008	1
MW455449.1	3007	1
MZ286029.1	3007	1
MZ286063.1	3007	1
MN769336.1	3006	1
MZ285995.1	3006	1
MZ286012.1	3006	1
MN771221.1	3004	1
MN771238.1	3004	1
MN771280.1	3004	1
MZ285977.1	3004	1
MN771023.1	3003	1
MW455371.1	3001	1
MW455421.1	3000	1
MN770702.1	2999	1
MN771326.1	2999	1
MN771333.1	2999	1
MN770541.1	2998	1
MN770888.1	2998	1
MN774985.1	2998	1
MN770184.1	2997	1
MN774970.1	2997	1
MN771181.1	2996	1
MW455435.1	2996	1
OZ258697.1	2996	1
OZ258909.1	2996	1
MN769201.1	2995	1
MN769574.1	2995	1
MN769880.1	2995	1
MN770483.1	2995	1
MN770732.1	2995	1
MN771363.1	2995	1
MN769035.1	2994	1
MN769605.1	2994	1
MN770160.1	2994	1
MN770458.1	2994	1
MN770475.1	2994	1
MN770642.1	2994	1
MN770729.1	2994	1
MN770769.1	2994	1
MN771334.1	2993	1
MN774964.1	2993	1
MZ286127.1	2993	1
MN770170.1	2992	1
MN770356.1	2991	1
MN770884.1	2991	1
MN771355.1	2991	1
MN774980.1	2991	1
MN770983.1	2990	1
MN771012.1	2990	1
MN770908.1	2989	1
MN774969.1	2989	1
MW455381.1	2989	1
KP343818.1	2988	1
MN769040.1	2988	1
MN769169.1	2988	1
MN769267.1	2988	1
MN769549.1	2988	1
MN769575.1	2988	1
MN770411.1	2988	1
MN770490.1	2988	1
MN770539.1	2988	1
MN770672.1	2988	1
MN770734.1	2988	1
MN774976.1	2988	1
MW455419.1	2988	1
MW455422.1	2988	1
MZ285971.1	2988	1
MZ286047.1	2988	1
MZ286226.1	2988	1
MZ286251.1	2988	1
MN769236.1	2987	1
MN769471.1	2987	1
MN769557.1	2987	1
MN769641.1	2987	1
MN769702.1	2987	1
