object	cluster
MN769730.1	0
MZ286052.1	0
MN769175.1	0
MN769365.1	0
MN771492.1	0
OZ258650.1	0
OZ258862.1	0
MN771486.1	0
MN770389.1	0
MW455411.1	0
MZ286227.1	0
MZ286283.1	0
MZ286273.1	0
MN769477.1	0
MN771074.1	0
MN769479.1	0
MN770187.1	0
MN770953.1	0
MN769151.1	0
MN769261.1	0
MN769603.1	0
MN769800.1	0
MN769401.1	0
MN769809.1	0
MN769216.1	0
MN769040.1	1
MN769169.1	1
MN769267.1	1
MN769549.1	1
MN769575.1	1
MN770411.1	1
MW455419.1	1
MZ286226.1	1
MZ286251.1	1
MN769471.1	1
MN769557.1	1
MN769641.1	1
MN769702.1	1
MN769714.1	1
MN769780.1	1
MN770030.1	1
MN770377.1	1
MN770774.1	1
MN770178.1	1
MN770197.1	1
MN770365.1	1
MN770033.1	1
MZ286072.1	1
KY462757.1	2
KY462758.1	2
KY462759.1	2
KY462760.1	2
KY462761.1	2
KY462762.1	2
KY462763.1	2
KY462764.1	2
KY462765.1	2
KY462766.1	2
KY462768.1	2
KY462769.1	2
KY462767.1	2
MW455382.1	2
MW455424.1	2
MZ286232.1	2
MN769568.1	2
MN771175.1	2
MN769229.1	2
MN771357.1	2
MN770613.1	2
MH649077.1	2
KP343847.1	3
MZ286163.1	3
MZ286088.1	3
MZ286250.1	3
MW455429.1	3
MZ286264.1	3
MZ286289.1	3
MN769294.1	3
MN770165.1	3
MN771075.1	3
MN771424.1	3
MW455391.1	3
MN769370.1	3
MN769528.1	3
MN770157.1	3
MN769356.1	3
MN770138.1	3
MN770162.1	3
MN769357.1	3
MN771450.1	3
MH649229.1	3
MZ286156.1	4
MH649242.1	4
MZ286205.1	4
OZ258664.1	4
OZ258876.1	4
MT501648.1	4
MT501645.1	4
MT501652.1	4
MZ286092.1	4
MW455438.1	4
MW455383.1	4
MZ286023.1	4
MH649258.1	4
MH648958.1	4
MH648901.1	4
MW455369.1	4
MZ286188.1	4
MZ285964.1	4
MW455423.1	4
MW455359.1	4
MZ286151.1	4
MN770426.1	5
MN771027.1	5
MZ286268.1	5
MN770970.1	5
MN771024.1	5
MN770921.1	5
MN771029.1	5
MN771031.1	5
MN771036.1	5
MN770424.1	5
MN771026.1	5
MN771028.1	5
MZ286279.1	5
OK574409.1	5
MN770217.1	5
MN771198.1	5
MN771025.1	5
MN771095.1	5
MN771034.1	5
MN771032.1	5
MN769298.1	5
OZ258652.1	6
OZ258864.1	6
PP374828.1	6
OR148955.1	6
OR148953.1	6
OZ258692.1	6
OZ258904.1	6
MH649179.1	6
MW679003.1	6
MZ286208.1	6
OP985294.1	6
MZ286216.1	6
MW455345.1	6
MH648969.1	6
OP985293.1	6
MN765196.1	6
MZ286099.1	6
MZ286169.1	6
MZ286220.1	6
MW455444.1	7
MZ286148.1	7
MZ286256.1	7
MH649017.1	7
MN769438.1	7
MN770148.1	7
MW455425.1	7
MZ286235.1	7
MZ286277.1	7
NC_075373.1	7
MN769602.1	7
MN770132.1	7
MN769799.1	7
MN769307.1	7
MN769548.1	7
MN770254.1	7
MN770155.1	7
MN771406.1	7
MH649212.1	7
MH017570.1	8
MH017571.1	8
MH017572.1	8
MH017573.1	8
MH017574.1	8
MH017575.1	8
MH017576.1	8
MH017577.1	8
MH017578.1	8
MH017579.1	8
MH017580.1	8
MH017581.1	8
MH017582.1	8
MH017583.1	8
MH017584.1	8
MH017585.1	8
MH017586.1	8
MH017587.1	8
KP343845.1	8
MZ286070.1	9
KM593802.2	9
KM593803.2	9
MZ286016.1	9
MZ286079.1	9
MZ286057.1	9
MZ286049.1	9
MZ286013.1	9
MH648893.1	9
MW455387.1	9
MH648916.1	9
MZ286144.1	9
MZ286179.1	9
MW455355.1	9
MZ286077.1	9
MZ285984.1	9
MH017563.1	10
MH017564.1	10
MH017565.1	10
NC_076234.1	10
MH017566.1	10
MH017567.1	10
MH017568.1	10
MH017569.1	10
MN769309.1	10
MN769075.1	10
MN769222.1	10
MN769306.1	10
MN769360.1	10
MN769488.1	10
MN769553.1	10
MN769653.1	10
OZ258693.1	11
OZ258905.1	11
OZ258620.1	11
OZ258701.1	11
OZ258832.1	11
OZ258913.1	11
MN768563.1	11
MN768562.1	11
MN768567.1	11
MW455439.1	11
MZ286008.1	11
MW455367.1	11
MW455433.1	11
MZ286185.1	11
MZ286045.1	11
MZ286042.1	12
MZ286125.1	12
MZ286211.1	12
MW455396.1	12
MZ286178.1	12
MZ286014.1	12
MZ286051.1	12
MZ285976.1	12
MZ285995.1	12
MZ286012.1	12
MW455371.1	12
MZ286105.1	12
MZ286145.1	12
MZ285965.1	12
MZ286031.1	12
MZ286044.1	13
MN771213.1	13
MH649106.1	13
MN770648.1	13
MN770794.1	13
OK574437.1	13
MN770418.1	13
MN770423.1	13
MN770879.1	13
MN771212.1	13
MN771278.1	13
MN770909.1	13
MN771214.1	13
MN771215.1	13
MN770715.1	13
MN770514.1	14
MN771197.1	14
MN770287.1	14
MH017547.1	14
MH017548.1	14
MH017549.1	14
MH017550.1	14
MH017551.1	14
MH017546.1	14
MH017554.1	14
MH017555.1	14
NC_076233.1	14
MH017552.1	14
MH017553.1	14
MN770286.1	14
MN769193.1	15
MN769225.1	15
MN769079.1	15
MN769141.1	15
MN769759.1	15
MN771065.1	15
MN769649.1	15
OZ258714.1	15
OZ258926.1	15
MN769111.1	15
MN769284.1	15
MN771397.1	15
MN769421.1	15
MN771186.1	15
MN771427.1	15
MN769976.1	16
MN770249.1	16
MW455386.1	16
MN771409.1	16
MN770243.1	16
MN770259.1	16
MN771057.1	16
MZ286257.1	16
MZ286275.1	16
MN769924.1	16
MN770266.1	16
MH649051.1	16
MZ286200.1	16
MH649217.1	16
MN770131.1	17
MN770173.1	17
MN770643.1	17
MN771177.1	17
OZ258763.1	17
OZ258975.1	17
MN770521.1	17
MN770670.1	17
MN770756.1	17
MN769844.1	17
MN770169.1	17
MN771498.1	17
MN771179.1	17
MN770142.1	17
MZ286056.1	18
OZ258695.1	18
OZ258907.1	18
MZ286066.1	18
OZ258709.1	18
OZ258921.1	18
MZ286132.1	18
MZ286121.1	18
MZ285993.1	18
MZ286206.1	18
MZ286080.1	18
MZ286028.1	18
MZ285977.1	18
MZ286047.1	18
AB041962.1	19
MN771081.1	19
NC_014089.1	19
MN769428.1	19
MN769435.1	19
MN769551.1	19
MN769636.1	19
MN769735.1	19
MN769736.1	19
MN769743.1	19
MN769758.1	19
MN769760.1	19
MN769817.1	19
MN770289.1	19
MN769923.1	20
MN770865.1	20
MN769840.1	20
MN769990.1	20
MN769858.1	20
MN769861.1	20
MN769893.1	20
MN769941.1	20
MN769984.1	20
MN769992.1	20
MN769999.1	20
MN770334.1	20
MZ286280.1	20
MN769970.1	20
MN769038.1	21
MN770237.1	21
MN770439.1	21
MN770444.1	21
MN770440.1	21
MN770441.1	21
MN770442.1	21
MN770443.1	21
MN770945.1	21
LC381845.1	21
NC_076168.1	21
OZ258723.1	21
OZ258935.1	21
MN770438.1	21
MN770876.1	22
MN770752.1	22
MN770569.1	22
MN770596.1	22
MN770654.1	22
MN770737.1	22
MN770854.1	22
MN771310.1	22
MN770337.1	22
MN770368.1	22
MN770394.1	22
MN770568.1	22
