object	cluster
MN769027.1	0
MN769043.1	0
MN769117.1	0
MN770637.1	0
MN769387.1	0
MN769064.1	0
MN769078.1	0
MN769102.1	0
MN769443.1	0
MN769213.1	0
MN769750.1	0
MN769065.1	0
MN769033.1	1
MN769160.1	1
MN769198.1	1
MN769239.1	1
MN769521.1	1
MN769740.1	1
MN769775.1	1
MN769823.1	1
MN771020.1	1
MN771021.1	1
MN771483.1	1
OZ258769.1	2
OZ258981.1	2
MN770144.1	2
MN770880.1	2
MN770881.1	2
MN770882.1	2
MN770892.1	2
MN770893.1	2
MN770887.1	2
MN771476.1	2
MN770167.1	2
MN771024.1	3
MN770921.1	3
MN771029.1	3
MN771031.1	3
MN771036.1	3
MN770424.1	3
MN771026.1	3
MN771028.1	3
MN771025.1	3
MN771032.1	3
MN770746.1	4
MN770665.1	4
MN770549.1	4
MN770540.1	4
MN770799.1	4
MN770492.1	4
MN770460.1	4
MN770796.1	4
MN770804.1	4
MN771316.1	5
MN771317.1	5
MN771318.1	5
MN771320.1	5
MN771321.1	5
MN771323.1	5
MN771324.1	5
MN771328.1	5
MN771332.1	5
MN770479.1	6
MN770512.1	6
MN770550.1	6
MN770573.1	6
MN770575.1	6
MN770599.1	6
MN770666.1	6
MN770759.1	6
MN769185.1	7
MN769072.1	7
MN769485.1	7
MN769520.1	7
MN769827.1	7
MN770681.1	7
MN771088.1	7
MN769085.1	7
MN769867.1	8
MN769889.1	8
MN769907.1	8
MN769934.1	8
MN769935.1	8
MN769956.1	8
MN770001.1	8
MN770012.1	8
MN769998.1	9
OP985295.1	9
MN769851.1	9
MN769856.1	9
MN769885.1	9
MN769982.1	9
MN771497.1	9
MN769936.1	9
MN769350.1	10
MN769248.1	10
MN769467.1	10
MN769496.1	10
MN769831.1	10
MN769352.1	10
KX810063.1	10
NC_076155.1	10
MN769347.1	11
MN769377.1	11
MN769555.1	11
MN770211.1	11
MN770212.1	11
MN770210.1	11
MN770258.1	11
MN770749.1	11
MN771223.1	12
MN771229.1	12
MN771230.1	12
MN771242.1	12
MN771264.1	12
MN771266.1	12
MN771283.1	12
MN771288.1	12
MZ286269.1	13
MN769047.1	13
MN769138.1	13
MN769164.1	13
MN769512.1	13
MW455377.1	13
MN769278.1	13
MN770901.1	14
MN770903.1	14
MN770985.1	14
MN770899.1	14
MN770902.1	14
MN770900.1	14
MN770898.1	14
MN769294.1	15
MN771075.1	15
MN771424.1	15
MN769370.1	15
MN769528.1	15
MN770157.1	15
MN770162.1	15
MN770131.1	16
MN770173.1	16
MN770643.1	16
MN769844.1	16
MN770169.1	16
MN771498.1	16
MN770142.1	16
MN769038.1	17
MN770237.1	17
MN770439.1	17
MN770444.1	17
MN770441.1	17
MN770443.1	17
MN770945.1	17
MN769058.1	18
MN769130.1	18
MN769197.1	18
MN769279.1	18
MN769091.1	18
MN769798.1	18
MN769536.1	18
MN769428.1	19
MN769435.1	19
MN769551.1	19
MN769636.1	19
MN769743.1	19
MN769758.1	19
MN769760.1	19
MN769524.1	20
MN769878.1	20
MN769915.1	20
MN769937.1	20
MN769957.1	20
MN769964.1	20
MN769979.1	20
MN769126.1	21
MN769161.1	21
MN769262.1	21
MN769288.1	21
MN769808.1	21
MN771103.1	21
MN769388.1	21
MN769310.1	22
MN769871.1	22
MN769899.1	22
MN769922.1	22
MN769942.1	22
MN769953.1	22
MN771448.1	22
KY462757.1	23
KY462759.1	23
KY462760.1	23
KY462761.1	23
KY462764.1	23
KY462765.1	23
KY462768.1	23
MN770341.1	24
MN770397.1	24
MN770450.1	24
MN770542.1	24
MN770547.1	24
MN770582.1	24
MN771206.1	24
MN770300.1	25
MN770304.1	25
MN770310.1	25
MN770461.1	25
MN770785.1	25
MN771167.1	25
MN771128.1	25
MN769882.1	26
MN769894.1	26
MN769933.1	26
MN769938.1	26
MN769986.1	26
MN770006.1	26
MN770016.1	26
MN770562.1	27
MN770606.1	27
MN770739.1	27
MN770765.1	27
MN770925.1	27
OZ258810.1	27
OZ259022.1	27
MN769985.1	28
MN769846.1	28
MN769869.1	28
MN769877.1	28
MN769948.1	28
MN770003.1	28
MN770018.1	28
MN769639.1	29
MN769693.1	29
MN769727.1	29
MN770079.1	29
MN770850.1	29
MN770911.1	29
MN769626.1	29
MN770239.1	30
MN770240.1	30
MN770241.1	30
MN770247.1	30
MN770927.1	30
MN770932.1	30
MN770954.1	30
MN771156.1	31
MN770298.1	31
MN770916.1	31
MN770917.1	31
MN770999.1	31
MN771019.1	31
MN769442.1	32
MN769593.1	32
MN769761.1	32
MN769093.1	32
MN769741.1	32
MN769031.1	32
MN770868.1	33
MN770870.1	33
MN770872.1	33
MN770874.1	33
MN771502.1	33
MN770878.1	33
MN769235.1	34
MN769582.1	34
MN769792.1	34
MN770041.1	34
MN770084.1	34
MN771422.1	34
MN770282.1	35
MN770290.1	35
MN770291.1	35
MN770316.1	35
MN770319.1	35
MN770473.1	35
MN770044.1	36
MN771132.1	36
MN770186.1	36
MN770205.1	36
MN770295.1	36
MN771079.1	36
MN769345.1	37
MN769458.1	37
MN769539.1	37
MN769728.1	37
MN769830.1	37
MN769272.1	37
MN769253.1	38
MN769672.1	38
MN769764.1	38
MN769299.1	38
MN771493.1	38
MN769745.1	38
MK212030.1	39
MN770417.1	39
MN771290.1	39
MN771480.1	39
MN770570.1	39
MN770791.1	39
MN769342.1	40
MN771099.1	40
MN769094.1	40
MN769643.1	40
MN770977.1	40
MN770984.1	40
MN771170.1	41
MN771184.1	41
MN769965.1	41
MN770309.1	41
MN770311.1	41
MN771138.1	41
MN770531.1	42
MN770592.1	42
MN770661.1	42
MN770720.1	42
MN770793.1	42
MN770960.1	42
MN771237.1	43
MN771399.1	43
MN771235.1	43
MN770595.1	43
MN770763.1	43
MN771430.1	43
MN769470.1	44
MN769499.1	44
MN769419.1	44
MN769638.1	44
MN769679.1	44
MN769757.1	44
MN770514.1	45
MN771197.1	45
MN770287.1	45
MH017547.1	45
MH017546.1	45
NC_076233.1	45
MN769309.1	46
MN769075.1	46
MN769222.1	46
MN769306.1	46
MN769553.1	46
MN769653.1	46
MN769912.1	47
MN769980.1	47
MN769987.1	47
MN769996.1	47
MN770021.1	47
MN770968.1	47
MN769619.1	48
MN771165.1	48
MN769755.1	48
MN770299.1	48
MN770327.1	48
MN771113.1	48
MN770036.1	49
MN770667.1	49
MN770722.1	49
MN770751.1	49
MN771122.1	49
MN771178.1	49
MN769870.1	50
MN769873.1	50
MN771054.1	50
MN771442.1	50
MN771491.1	50
MN771391.1	50
MN769978.1	51
MN770029.1	51
MN769909.1	51
MN769960.1	51
MN770014.1	51
MN770027.1	51
MN769502.1	52
MN769572.1	52
MN769622.1	52
MN769720.1	52
MN771440.1	52
MN771412.1	52
MN769874.1	53
MN769892.1	53
MN769896.1	53
MN769913.1	53
MN769920.1	53
MN770000.1	53
OZ258791.1	54
OZ259003.1	54
MN770256.1	54
MN770270.1	54
MN770255.1	54
MN771106.1	55
MN771127.1	55
MN771193.1	55
MN771338.1	55
MN771341.1	55
KY462758.1	56
KY462762.1	56
KY462763.1	56
KY462766.1	56
KY462767.1	56
MN770161.1	57
MN770163.1	57
MN770166.1	57
MN770669.1	57
MN770723.1	57
MN770011.1	58
MN769841.1	58
MN769898.1	58
MN770988.1	58
MN771002.1	58
MN769410.1	59
MN771114.1	59
MN769604.1	59
MN769681.1	59
MN769509.1	59
MN770373.1	60
MN770690.1	60
MN769397.1	60
MN770553.1	60
MN770772.1	60
MN771177.1	61
OZ258763.1	61
OZ258975.1	61
MN770521.1	61
MN770756.1	61
MH017570.1	62
MH017571.1	62
MH017572.1	62
MH017586.1	62
MH017587.1	62
MN769480.1	63
MN769061.1	63
MN769146.1	63
MN769944.1	63
MN770427.1	63
MN770411.1	64
MN769471.1	64
MN770377.1	64
MN770774.1	64
MN770365.1	64
MN769748.1	65
MN769811.1	65
MN769691.1	65
MN770203.1	65
MN769635.1	65
MN770312.1	66
MN770947.1	66
MN771094.1	66
MN771121.1	66
MN770499.1	66
MN769416.1	67
MN769613.1	67
MN769674.1	67
MN770176.1	67
MN770200.1	67
KP343818.1	68
MN770280.1	68
MN770321.1	68
MN770787.1	68
MN769673.1	68
MH017548.1	69
MH017549.1	69
MH017550.1	69
MH017551.1	69
MH017552.1	69
MN769858.1	70
MN769861.1	70
MN769984.1	70
MN769992.1	70
MN769970.1	70
MN769076.1	71
MN769036.1	71
MN769208.1	71
MN769637.1	71
MN769731.1	71
MN771213.1	72
MN770648.1	72
MN770909.1	72
MN771214.1	72
MN770715.1	72
MN769977.1	73
MN771494.1	73
MN769947.1	73
MN769961.1	73
MN770010.1	73
MN769211.1	74
MN769420.1	74
MN769669.1	74
MN769048.1	74
MN769199.1	74
MN769108.1	75
MN769203.1	75
MN769631.1	75
MN769687.1	75
MN769770.1	75
MN771322.1	76
MN771325.1	76
MN771327.1	76
MN771330.1	76
MN771335.1	76
MN769849.1	77
MN769883.1	77
MN769895.1	77
MN769943.1	77
MN770025.1	77
MN770827.1	78
MN770831.1	78
MN770832.1	78
MN770841.1	78
MN770987.1	78
MN769589.1	79
MN769066.1	79
MN769165.1	79
MN769462.1	79
MN769645.1	79
MN770525.1	80
MN770635.1	80
MN770657.1	80
MN771247.1	80
MN771342.1	80
MN769684.1	81
MN769053.1	81
MN769218.1	81
MN769243.1	81
MN769607.1	81
MN770966.1	82
MN770314.1	82
MN770982.1	82
MN771005.1	82
MN771008.1	82
MN770781.1	83
MN770477.1	83
MN770780.1	83
MN770797.1	83
MN771149.1	83
MN771218.1	84
MN771233.1	84
MN771259.1	84
MN771296.1	84
MN771302.1	84
AF291073.1	85
NC_014068.1	85
MN769699.1	85
MN769829.1	85
MN771436.1	85
MN770337.1	86
MN770368.1	86
MN770394.1	86
MN770568.1	86
MN770400.1	86
MN769186.1	87
MN769406.1	87
MN769328.1	87
MN769456.1	87
MN769709.1	87
MN770428.1	88
MN770980.1	88
MN770997.1	88
MN770950.1	88
MN771265.1	89
MN771224.1	89
MN771384.1	89
MN771389.1	89
MN769876.1	90
MN769916.1	90
MN770004.1	90
MN770013.1	90
MN770770.1	91
MN771064.1	91
MN770638.1	91
MN770743.1	91
MN769661.1	92
MN769378.1	92
MN769338.1	92
MN769280.1	92
MH017566.1	93
MH017567.1	93
MH017568.1	93
MH017569.1	93
MN769543.1	94
MN769707.1	94
MN769069.1	94
MN769227.1	94
MN770174.1	95
MN770609.1	95
MN770735.1	95
MN770354.1	95
MN769301.1	96
MN769327.1	96
MN769452.1	96
MN769503.1	96
MN769438.1	97
MN769799.1	97
MN769307.1	97
MN769548.1	97
MN770435.1	98
MN770668.1	98
MN770686.1	98
MN771148.1	98
MN770907.1	99
MN771469.1	99
MN770712.1	99
MN770699.1	99
MN771238.1	100
MN771280.1	100
MN771363.1	100
MN771346.1	100
MN770994.1	101
MN771014.1	101
MN771485.1	101
MN770924.1	101
MN771225.1	102
MN771282.1	102
MN771285.1	102
MN771015.1	102
MN770812.1	103
MN770840.1	103
MN770969.1	103
MN770578.1	103
MN770962.1	104
MN770641.1	104
MN770548.1	104
MN770625.1	104
MN769237.1	105
MN769295.1	105
MN769408.1	105
MN771508.1	105
MN769286.1	106
MN769368.1	106
MN769481.1	106
MN769697.1	106
MN770204.1	107
MN771287.1	107
MN771240.1	107
MN771301.1	107
MN769046.1	108
MN769127.1	108
MN769217.1	108
MN769821.1	108
MN771115.1	109
MN771130.1	109
MN770755.1	109
MN771096.1	109
MN770476.1	110
MN770481.1	110
MN770629.1	110
MN770766.1	110
MN770146.1	111
MN769215.1	111
MN769591.1	111
MN770171.1	111
MN769201.1	112
MN769685.1	112
MN769517.1	112
MN769092.1	112
MN770651.1	113
MN770409.1	113
MN770571.1	113
MN770709.1	113
OZ258695.1	114
OZ258907.1	114
OZ258709.1	114
OZ258921.1	114
MN770124.1	115
MN769119.1	115
MN769196.1	115
MN769086.1	115
MN769433.1	116
MN770182.1	116
MN770206.1	116
MN769276.1	116
MN771228.1	117
MN771340.1	117
MN771344.1	117
MN771286.1	117
MN769702.1	118
MN770178.1	118
MN770197.1	118
MN770033.1	118
MN771401.1	119
MN770272.1	119
MN770445.1	119
MN771076.1	119
MN769649.1	120
MN769111.1	120
MN769284.1	120
MN771427.1	120
MN770523.1	121
MN770693.1	121
MN770716.1	121
MN770530.1	121
MN770332.1	122
MN770826.1	122
MN770996.1	122
MN771124.1	122
MN770748.1	123
OZ258773.1	123
OZ258985.1	123
MN770107.1	123
MN769686.1	124
MN769675.1	124
MN769726.1	124
MN769807.1	124
MN771246.1	125
MN771267.1	125
MN771463.1	125
MN770545.1	125
MN770091.1	126
MN770054.1	126
MN770066.1	126
MN770110.1	126
MN769283.1	127
MN769163.1	127
MN769331.1	127
MN769655.1	127
MZ286052.1	128
MN769477.1	128
MN769261.1	128
MN769603.1	128
MN769336.1	129
MN769230.1	129
MN769826.1	129
MN771381.1	129
MN769087.1	130
MN769113.1	130
MN769445.1	130
MN769664.1	130
MN770626.1	131
MN770768.1	131
MN770979.1	131
MN770829.1	131
MN770264.1	132
MN770274.1	132
MN770276.1	132
MN770261.1	132
MN770458.1	133
MN770642.1	133
MN770729.1	133
MN770769.1	133
MN769828.1	134
MN770284.1	134
MN770288.1	134
MN770837.1	134
MN770136.1	135
MN770404.1	135
MN770498.1	135
MN770620.1	135
MN769403.1	136
MN769374.1	136
