Accession,Species,Genus,Family,Isolate,Virus Taxonomic ID,Virus Name,Length,Isolate Lineage source,leiden,genus,species,infer_genus,cdhit_representative,orf_id,aa_length,phylo_cluster,orf1_genus
PQ438050.1,Torque teno virus,Unclassified,Anelloviridae,BB02_W200314045308P,68887,Torque teno virus,3062,blood,16,204,931,Alphatorquevirus,PQ438050.1,PQ438050.1_1,731,30,Alphatorquevirus
PP728782.1,Memtorquevirus hominid14,Memtorquevirus,Anelloviridae,ASU82836,3160828,Memtorquevirus hominid14,3223,"",179,748,840,Memtorquevirus,PP728782.1,PP728782.1_1,663,35,Memtorquevirus
PP728781.1,Samektorquevirus hominid18,Samektorquevirus,Anelloviridae,ASU82773,3160824,Samektorquevirus hominid18,2940,"",154,350,1161,Samektorquevirus,PP728781.1,PP728781.1_1,663,34,Samektorquevirus
PP728779.1,Samektorquevirus hominid17,Samektorquevirus,Anelloviridae,ASU82758a,3160823,Samektorquevirus hominid17,3230,"",215,747,829,Samektorquevirus,PP728779.1,PP728779.1_1,660,34,Samektorquevirus
PP728776.1,Samektorquevirus hominid16,Samektorquevirus,Anelloviridae,ASU71878,3160822,Samektorquevirus hominid16,3178,"",215,763,875,Samektorquevirus,PP728776.1,PP728776.1_1,663,34,Samektorquevirus
PP374835.1,Torque teno virus,Unclassified,Anelloviridae,HNPP7-1,68887,Torque teno virus,3798,"",70,295,693,Alphatorquevirus,PP374835.1,PP374835.1_1,761,29,Alphatorquevirus
PP374834.1,Torque teno virus,Unclassified,Anelloviridae,HNPP6-2,68887,Torque teno virus,3773,"",16,194,280,Alphatorquevirus,PP374834.1,PP374834.1_1,736,30,Alphatorquevirus
PP374832.1,Torque teno virus,Unclassified,Anelloviridae,HNPP5,68887,Torque teno virus,3908,"",20,726,671,Alphatorquevirus,PP374832.1,PP374832.1_1,790,29,Alphatorquevirus
PP374831.1,Torque teno virus,Unclassified,Anelloviridae,HNPP4,68887,Torque teno virus,3769,"",73,723,705,Alphatorquevirus,PP374831.1,PP374831.1_1,750,29,Alphatorquevirus
PP374830.1,Torque teno virus,Unclassified,Anelloviridae,HNPP3,68887,Torque teno virus,3741,"",70,295,712,Alphatorquevirus,PP374830.1,PP374830.1_1,744,29,Alphatorquevirus
PP374829.1,Torque teno virus,Unclassified,Anelloviridae,HNPP2,68887,Torque teno virus,3794,"",70,295,695,Alphatorquevirus,PP374829.1,PP374829.1_1,745,29,Alphatorquevirus
PP374828.1,Torque teno virus,Unclassified,Anelloviridae,HNPP1,68887,Torque teno virus,3830,"",13,6,681,Alphatorquevirus,PP374828.1,PP374828.1_1,766,29,Alphatorquevirus
OZ258816.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3150,"",175,145,378,Alphatorquevirus,OZ258816.1,OZ258816.1_1,662,32,Alphatorquevirus
OZ258809.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2908,"",36,167,612,Betatorquevirus,OZ258809.1,OZ258809.1_1,670,20,Betatorquevirus
OZ258807.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2940,"",31,131,359,Betatorquevirus,OZ258807.1,OZ258807.1_1,666,16,Betatorquevirus
OZ258804.1,Betatorquevirus sp.,Betatorquevirus,Anelloviridae,"",2809199,Betatorquevirus sp.,2720,"",120,387,325,Betatorquevirus,OZ258804.1,OZ258804.1_1,655,5,Betatorquevirus
OZ258803.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3687,"",74,395,373,Alphatorquevirus,OZ258803.1,OZ258803.1_1,652,32,Alphatorquevirus
OZ258799.1,Alphatorquevirus sp.,Alphatorquevirus,Anelloviridae,"",2809145,Alphatorquevirus sp.,3757,"",70,287,476,Alphatorquevirus,OZ258799.1,OZ258799.1_1,742,29,Alphatorquevirus
