object	cluster
KP343847.1	0
MZ286163.1	0
MN769730.1	0
MZ286088.1	0
AB026930.1	0
MZ286052.1	0
AB026931.1	0
NC_014097.1	0
MZ286250.1	0
MN769286.1	0
MW455429.1	0
MZ286264.1	0
MN770992.1	0
MN771447.1	0
MN769210.1	0
MN769315.1	0
MN769594.1	0
MN769686.1	0
MZ286289.1	0
MN769175.1	0
MN769365.1	0
MN771492.1	0
OZ258650.1	0
OZ258862.1	0
MN769205.1	0
MN771486.1	0
MN769567.1	0
MZ286274.1	0
MN769270.1	0
MN769294.1	0
MN770165.1	0
MN771075.1	0
MN771424.1	0
MW455391.1	0
MN769370.1	0
MN769528.1	0
MN770157.1	0
MN771060.1	0
MN769794.1	0
MN770389.1	0
MW455411.1	0
MZ286227.1	0
MZ286283.1	0
MN769204.1	0
MN770646.1	0
MZ286273.1	0
MN769477.1	0
MN771074.1	0
MN769356.1	0
MN770138.1	0
MN771195.1	0
MN769481.1	0
MN771185.1	0
MN769675.1	0
MN769726.1	0
MN769807.1	0
MN769392.1	0
MN769479.1	0
MN769259.1	0
MN769319.1	0
MN769334.1	0
MN770189.1	0
MN769073.1	0
KY462757.1	0
MN770696.1	0
KY462758.1	0
KY462759.1	0
KY462760.1	0
KY462761.1	0
KY462762.1	0
KY462763.1	0
KY462764.1	0
KY462765.1	0
KY462766.1	0
KY462768.1	0
KY462769.1	0
MN770162.1	0
KY462767.1	0
MN770187.1	0
MN770953.1	0
MW455382.1	0
MW455424.1	0
MZ286232.1	0
OK574395.1	0
MN769568.1	0
MN769151.1	0
MN769261.1	0
MN769603.1	0
MN771175.1	0
MN769229.1	0
MN770930.1	0
MN771357.1	0
MN770907.1	0
MN771469.1	0
MN769357.1	0
MN770207.1	0
MN771396.1	0
MN769778.1	0
MN769800.1	0
MN771392.1	0
MN770728.1	0
MN769401.1	0
MN769809.1	0
MN771452.1	0
MN769126.1	0
MN769216.1	0
MN770613.1	0
MZ286245.1	0
MZ286270.1	0
MN771450.1	0
MN770712.1	0
MN770699.1	0
MN769308.1	0
MN769161.1	0
MN769262.1	0
MN769288.1	0
