orf_id,phylo_cluster,orf1_genus
MZ286050.1_1,1,Gammatorquevirus
MZ286052.1_1,2,Betatorquevirus
MZ286273.1_1,2,Betatorquevirus
MW455411.1_1,2,Betatorquevirus
MZ286088.1_1,2,Betatorquevirus
MW455391.1_1,2,Betatorquevirus
MZ286163.1_1,2,Betatorquevirus
KP343847.1_1,2,Betatorquevirus
MZ286289.1_1,2,Betatorquevirus
MH649229.1_1,2,Betatorquevirus
MZ286250.1_1,2,Betatorquevirus
MZ286264.1_1,2,Betatorquevirus
MW455429.1_1,2,Betatorquevirus
MZ286274.1_1,2,Betatorquevirus
MH648977.1_1,2,Betatorquevirus
MH649011.1_1,2,Betatorquevirus
MW455382.1_1,2,Betatorquevirus
MH649077.1_1,2,Betatorquevirus
MH649254.1_1,2,Betatorquevirus
MZ286245.1_1,2,Betatorquevirus
MZ286270.1_1,2,Betatorquevirus
MZ286053.1_1,2,Betatorquevirus
MZ286193.1_1,2,Betatorquevirus
MZ286266.1_1,2,Betatorquevirus
MH649023.1_1,2,Betatorquevirus
MH649104.1_1,2,Betatorquevirus
MZ286180.1_1,2,Betatorquevirus
MZ286148.1_1,2,Betatorquevirus
MZ286256.1_1,2,Betatorquevirus
MW455444.1_1,2,Betatorquevirus
MH649212.1_1,2,Betatorquevirus
MH649017.1_1,2,Betatorquevirus
MZ286277.1_1,2,Betatorquevirus
MW455425.1_1,2,Betatorquevirus
MZ286021.1_1,2,Betatorquevirus
MH649114.1_1,2,Betatorquevirus
MH649152.1_1,2,Betatorquevirus
MW455431.1_1,2,Betatorquevirus
MZ286200.1_1,3,Betatorquevirus
MH649051.1_1,3,Betatorquevirus
MW455386.1_1,3,Betatorquevirus
MH649217.1_1,3,Betatorquevirus
MZ286257.1_1,3,Betatorquevirus
MZ286275.1_1,3,Betatorquevirus
MZ286007.1_1,3,Betatorquevirus
MZ286225.1_1,3,Betatorquevirus
MZ286020.1_1,3,Betatorquevirus
MH649165.1_1,3,Betatorquevirus
MZ286058.1_1,3,Betatorquevirus
