Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type
NC_075369.1,RefSeq,GCF_004285195.1,SRR6442973,SAMN08296159,PRJNA485481,Anelloviridae sp.,Anelloviridae sp.,,Anelloviridae,,ctbg056,,"MAG: Anelloviridae sp. isolate ctbg056, complete genome",2381,complete,USA,USA,,Homo sapiens,blood,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,,2017-06-01,2023-05-04,ssDNA(-)
NC_075370.1,RefSeq,GCF_004285675.1,SRR6442973,SAMN08296159,PRJNA485481,Anelloviridae sp.,Anelloviridae sp.,,Anelloviridae,,ctbc019,,"MAG: Anelloviridae sp. isolate ctbc019, complete genome",2668,complete,USA,USA,,Homo sapiens,blood,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,,2017-06-01,2023-05-04,ssDNA(-)
NC_075371.1,RefSeq,GCF_004285795.1,SRR6442973,SAMN08296159,PRJNA485481,Anelloviridae sp.,Anelloviridae sp.,,Anelloviridae,,ctbf050,,"MAG: Anelloviridae sp. isolate ctbf050, complete genome",2536,complete,USA,USA,,Homo sapiens,blood,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,,2017-06-01,2023-05-04,ssDNA(-)
NC_075372.1,RefSeq,GCF_004286375.1,SRR6442889,SAMN08296116,PRJNA485481,Anelloviridae sp.,Anelloviridae sp.,,Anelloviridae,,ctbi042,,"MAG: Anelloviridae sp. isolate ctbi042, complete genome",1744,complete,USA,USA,,Homo sapiens,blood,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,,2017-06-01,2023-05-04,ssDNA(-)
NC_075373.1,RefSeq,GCF_004286455.1,SRR6442889,SAMN08296116,PRJNA485481,Anelloviridae sp.,Anelloviridae sp.,,Anelloviridae,,ctbb016,,"MAG: Anelloviridae sp. isolate ctbb016, complete genome",2810,complete,USA,USA,,Homo sapiens,blood,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,,2017-06-01,2023-05-04,ssDNA(-)
NC_075374.1,RefSeq,GCF_004286675.1,SRR6442973,SAMN08296159,PRJNA485481,Anelloviridae sp.,Anelloviridae sp.,,Anelloviridae,,ctga035,,"MAG: Anelloviridae sp. isolate ctga035, complete genome",2854,complete,USA,USA,,Homo sapiens,blood,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,,2017-06-01,2023-05-04,ssDNA(-)
NC_075375.1,RefSeq,GCF_004286695.1,SRR6442898,SAMN08296125,PRJNA485481,Anelloviridae sp.,Anelloviridae sp.,,Anelloviridae,,ctbd020,,"MAG: Anelloviridae sp. isolate ctbd020, complete genome",2368,complete,USA,USA,,Homo sapiens,blood,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,,2017-06-01,2023-05-04,ssDNA(-)
NC_075376.1,RefSeq,GCF_004286755.1,SRR6442898,SAMN08296125,PRJNA485481,Anelloviridae sp.,Anelloviridae sp.,,Anelloviridae,,ctbf014,,"MAG: Anelloviridae sp. isolate ctbf014, complete genome",2691,complete,USA,USA,,Homo sapiens,blood,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,,2017-06-01,2023-05-04,ssDNA(-)
NC_075377.1,RefSeq,GCF_004286855.1,SRR6442973,SAMN08296159,PRJNA485481,Anelloviridae sp.,Anelloviridae sp.,,Anelloviridae,,ctei055,,"MAG: Anelloviridae sp. isolate ctei055, complete genome",2407,complete,USA,USA,,Homo sapiens,blood,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,,2017-06-01,2023-05-04,ssDNA(-)
NC_075378.1,RefSeq,GCF_004287275.1,SRR6442973,SAMN08296159,PRJNA485481,Anelloviridae sp.,Anelloviridae sp.,,Anelloviridae,,ctea38,,"MAG: Anelloviridae sp. isolate ctea38, complete genome",2679,complete,USA,USA,,Homo sapiens,blood,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,,2017-06-01,2023-05-04,ssDNA(-)
